,Delta_mP.1,Delta_mP.2,Delta_mP.3,Delta_mP.4,Delta_mP.5,Delta_mP.6
GFP-His6-3_nM,GFP-His6_a,GFP-His6_b,GFP-His6_c,MltF-His6_a,MltF-His6_b,MltF-His6_c
0.976563,2.333333,4.333333,1.333333,3.666667,-0.33333,3.666667
1.953125,4.333333,3.333333,1.333333,2.666667,1.666667,1.666667
3.90625,5.333333,6.333333,5.333333,5.666667,1.666667,1.666667
7.8125,11.33333,11.33333,12.33333,-1.33333,3.666667,1.666667
15.625,20.33333,18.33333,20.33333,5.666667,4.666667,1.666667
31.25,27.33333,24.33333,23.33333,5.666667,3.666667,0.666667
62.5,26.33333,25.33333,26.33333,6.666667,7.666667,6.666667
125,27.33333,26.33333,25.33333,9.666667,11.66667,9.666667
250,28.33333,24.33333,26.33333,16.66667,14.66667,11.66667
500,28.33333,24.33333,26.33333,27.66667,23.66667,20.66667
1000,24.33333,26.33333,26.33333,24.66667,23.66667,23.66667
