,Delta_mP.1,Delta_mP.2,Delta_mP.3,Delta_mP.4,Delta_mP.5,Delta_mP.6
CoV2-6C3_nM,GFP_a,GFP_b,GFP_c,GFP-His6_a,GFP-His6_b,GFP-His6_c
0.976563,1.666667,2.666667,0.666667,5.666667,1.666667,1.666667
1.953125,2.666667,0.666667,0.666667,3.666667,1.666667,4.666667
3.90625,3.666667,0.666667,-0.33333,7.666667,5.666667,6.666667
7.8125,0.666667,0.666667,-2.33333,13.66667,8.666667,11.66667
15.625,2.666667,2.666667,1.666667,16.66667,12.66667,14.66667
31.25,-0.33333,0.666667,0.666667,23.66667,22.66667,19.66667
62.5,3.666667,1.666667,1.666667,24.66667,24.66667,22.66667
125,4.666667,2.666667,1.666667,26.66667,26.66667,25.66667
250,5.666667,2.666667,0.666667,24.66667,28.66667,25.66667
500,2.666667,4.666667,0.666667,26.66667,25.66667,26.66667
1000,5.666667,1.666667,3.666667,25.66667,26.66667,27.66667
