"SourceFile","ExifToolVersion","FileName","Directory","FileSize","FileModifyDate","FileAccessDate","FileCreateDate","FilePermissions","FileType","FileTypeExtension","MIMEType","ExifByteOrder","ImageWidth","ImageHeight","BitsPerSample","Compression","PhotometricInterpretation","SamplesPerPixel","PlanarConfiguration","Predictor","TileWidth","TileLength","TileOffsets","TileByteCounts","SampleFormat","PixelScale","ModelTiePoint","GDALNoData","GeoTiffVersion","GTModelType","GTRasterType","GeographicType","GeogCitation","GeogAngularUnits","GeogSemiMajorAxis","GeogInvFlattening","ImageSize","Megapixels"
"data/FileChecks_Images/CHIRPS_precipitation_1981-01-01.tif",13.38,"CHIRPS_precipitation_1981-01-01.tif","data/FileChecks_Images",1880,"2025:11:11 10:52:21-05:00","2025:11:13 16:12:10-05:00","2025:11:13 11:38:14-05:00",100666,"TIFF","TIF","image/tiff","II",110,164,32,8,1,1,2,1,256,256,408,1472,3,"0.045 0.045 0","0 0 0 -61.414905 8.53094430000004 0",-9999,"1.1.0",2,1,4326,"WGS 84",9102,6378137,298.257223563,"110 164",0.01804
"data/FileChecks_Images/CHIRPS_precipitation_1981-01-03.tif",13.38,"CHIRPS_precipitation_1981-01-03.tif","data/FileChecks_Images",9648,"2025:11:11 10:52:20-05:00","2025:11:13 16:12:10-05:00","2025:11:13 11:38:14-05:00",100666,"TIFF","TIF","image/tiff","II",110,164,32,8,1,1,2,1,256,256,408,9240,3,"0.045 0.045 0","0 0 0 -61.414905 8.53094430000004 0",-9999,"1.1.0",2,1,4326,"WGS 84",9102,6378137,298.257223563,"110 164",0.01804
"data/FileChecks_Images/CHIRTS_maximum_temperature_1983-01-07.tif",13.38,"CHIRTS_maximum_temperature_1983-01-07.tif","data/FileChecks_Images",30646,"2025:11:11 10:52:33-05:00","2025:11:13 16:12:10-05:00","2025:11:13 11:38:14-05:00",100666,"TIFF","TIF","image/tiff","II",110,164,32,8,1,1,2,1,256,256,408,30238,3,"0.045 0.045 0","0 0 0 -61.414905 8.53094430000004 0",-9999,"1.1.0",2,1,4326,"WGS 84",9102,6378137,298.257223563,"110 164",0.01804
"data/FileChecks_Images/CHIRTS_maximum_temperature_1983-01-09.tif",13.38,"CHIRTS_maximum_temperature_1983-01-09.tif","data/FileChecks_Images",30777,"2025:11:11 10:52:33-05:00","2025:11:13 16:12:10-05:00","2025:11:13 11:38:14-05:00",100666,"TIFF","TIF","image/tiff","II",110,164,32,8,1,1,2,1,256,256,408,30369,3,"0.045 0.045 0","0 0 0 -61.414905 8.53094430000004 0",-9999,"1.1.0",2,1,4326,"WGS 84",9102,6378137,298.257223563,"110 164",0.01804
