"FileName","VariableName","Class","Dimensions","NumDimensions","NumElements","Format"
"preprocessed.mat","arr_0","H5T_INTEGER","3000 x 180 x 180",3,97200000,"v7.3 (HDF5)"
"trial.mat","arr_0","H5T_INTEGER","3030 x 720 x 240",3,523584000,"v7.3 (HDF5)"
