"filename","version","object_path","object_type","dimensions","data_class"
"preprocessed.mat","v7.3 (HDF5)","/arr_0","H5I_DATASET","3000 x 180 x 180","INTEGER"
"trial.mat","v7.3 (HDF5)","/arr_0","H5I_DATASET","3030 x 720 x 240","INTEGER"
