"FileName","TotalRowsInFile","VariableName","VariableLabel","DataType","ValueLabels"
"GovernanceSurvey.sav",100,"Q21_1","Do any of your children have a special need (check all that apply)? Physical disabilities","haven_labelled","1=Physical disabilities"
"GovernanceSurvey.sav",100,"Q21_4","Do any of your children have a special need (check all that apply)? Mental health challenges","haven_labelled","1=Mental health challenges"
"GovernanceSurvey.sav",100,"Q21_5","Do any of your children have a special need (check all that apply)? A learning disorder","haven_labelled","1=A learning disorder"
"GovernanceSurvey.sav",100,"Q21_6","Do any of your children have a special need (check all that apply)? No","haven_labelled","1=No"
"GovernanceSurvey.sav",100,"Q22_1","If you had a concern about one of your children’s teachers that you
were unable to resolve with the teacher, who would you approach to discuss the
issue? (check all that apply). - Selected Choice No one","haven_labelled","1=No one"
"GovernanceSurvey.sav",100,"Q22_4","If you had a concern about one of your children’s teachers that you
were unable to resolve with the teacher, who would you approach to discuss the
issue? (check all that apply). - Selected Choice Another teacher","haven_labelled","1=Another teacher"
"GovernanceSurvey.sav",100,"Q22_5","If you had a concern about one of your children’s teachers that you
were unable to resolve with the teacher, who would you approach to discuss the
issue? (check all that apply). - Selected Choice The school secretary","haven_labelled","1=The school secretary"
"GovernanceSurvey.sav",100,"Q22_6","If you had a concern about one of your children’s teachers that you
were unable to resolve with the teacher, who would you approach to discuss the
issue? (check all that apply). - Selected Choice A vice principal","haven_labelled","1=A vice principal"
"GovernanceSurvey.sav",100,"Q22_7","If you had a concern about one of your children’s teachers that you
were unable to resolve with the teacher, who would you approach to discuss the
issue? (check all that apply). - Selected Choice The school principal","haven_labelled","1=The school principal"
"GovernanceSurvey.sav",100,"Q22_8","If you had a concern about one of your children’s teachers that you
were unable to resolve with the teacher, who would you approach to discuss the
issue? (check all that apply). - Selected Choice A superintendent","haven_labelled","1=A superintendent"
"GovernanceSurvey.sav",100,"Q22_9","If you had a concern about one of your children’s teachers that you
were unable to resolve with the teacher, who would you approach to discuss the
issue? (check all that apply). - Selected Choice The Director of Education","haven_labelled","1=The Director of Education"
"GovernanceSurvey.sav",100,"Q22_10","If you had a concern about one of your children’s teachers that you
were unable to resolve with the teacher, who would you approach to discuss the
issue? (check all that apply). - Selected Choice A school board trustee","haven_labelled","1=A school board trustee"
"GovernanceSurvey.sav",100,"Q22_11","If you had a concern about one of your children’s teachers that you
were unable to resolve with the teacher, who would you approach to discuss the
issue? (check all that apply). - Selected Choice A member of provincial parliament","haven_labelled","1=A member of provincial parliament"
"GovernanceSurvey.sav",100,"Q22_12","If you had a concern about one of your children’s teachers that you
were unable to resolve with the teacher, who would you approach to discuss the
issue? (check all that apply). - Selected Choice Other:","haven_labelled","1=Other:"
"GovernanceSurvey.sav",100,"Q22_12_TEXT","If you had a concern about one of your children’s teachers that you
were unable to resolve with the teacher, who would you approach to discuss the
issue? (check all that apply). - Other: - Text","character",""
"GovernanceSurvey.sav",100,"Q23_1","If you had a concern
about a rule at your child’s school, who would you approach to discuss the
issue? (check all that apply). - Selected Choice No one","haven_labelled","1=No one"
"GovernanceSurvey.sav",100,"Q23_4","If you had a concern
about a rule at your child’s school, who would you approach to discuss the
issue? (check all that apply). - Selected Choice Another teacher","haven_labelled","1=Another teacher"
"GovernanceSurvey.sav",100,"Q23_5","If you had a concern
about a rule at your child’s school, who would you approach to discuss the
issue? (check all that apply). - Selected Choice The school secretary","haven_labelled","1=The school secretary"
"GovernanceSurvey.sav",100,"Q23_6","If you had a concern
about a rule at your child’s school, who would you approach to discuss the
issue? (check all that apply). - Selected Choice A vice principal","haven_labelled","1=A vice principal"
"GovernanceSurvey.sav",100,"Q23_7","If you had a concern
about a rule at your child’s school, who would you approach to discuss the
issue? (check all that apply). - Selected Choice The school principal","haven_labelled","1=The school principal"
"GovernanceSurvey.sav",100,"Q23_8","If you had a concern
about a rule at your child’s school, who would you approach to discuss the
issue? (check all that apply). - Selected Choice A superintendent","haven_labelled","1=A superintendent"
"GovernanceSurvey.sav",100,"Q23_9","If you had a concern
about a rule at your child’s school, who would you approach to discuss the
issue? (check all that apply). - Selected Choice The Director of Education","haven_labelled","1=The Director of Education"
"GovernanceSurvey.sav",100,"Q23_10","If you had a concern
about a rule at your child’s school, who would you approach to discuss the
issue? (check all that apply). - Selected Choice A school board trustee","haven_labelled","1=A school board trustee"
"GovernanceSurvey.sav",100,"Q23_11","If you had a concern
about a rule at your child’s school, who would you approach to discuss the
issue? (check all that apply). - Selected Choice A member of provincial parliament","haven_labelled","1=A member of provincial parliament"
"GovernanceSurvey.sav",100,"Q23_12","If you had a concern
about a rule at your child’s school, who would you approach to discuss the
issue? (check all that apply). - Selected Choice Other:","haven_labelled","1=Other:"
