"filename","ocr_confidence","source","curation_flags","status","extracted_text"
"Spill_event_probability_codebook.pdf",1,"LOCAL_PDF_TOOLS","","SUCCESS","Description: This spreadsheet lists the data from past spills that was used to create the
probability function for determining spill volume from spill capacity for each spill scenario uses
in our study.

Column Headers and Descriptions:
 •    Oil On Board (L): Represents the total volume of oil present on board, measured in
      liters.
 •    Approx. % Oil Spilled (L): Indicates the approximate percentage of the total oil on
      board that has been spilled.
 •    Approx. Volume Spilled (L): Shows the approximate volume of oil that has been
      spilled, measured in liters.
 •    Oil Spilled (%): Represents the percentage of the total oil that has been spilled.
 •    Likelihood (%): Indicates the probability or chance of the corresponding oil spill
      scenario occurring, expressed as a percentage.
"
"static-plot-1.pdf",0,"GOOGLE_DOC_AI","LOW_CONFIDENCE; NO_TEXT_EXTRACTED","SUCCESS",""
