"filename","ocr_confidence","source","curation_flags","status"
"Spill_event_probability_codebook.pdf",1,"LOCAL_PDF_LAYOUT","","SUCCESS"
"static-plot-1.pdf",0,"GOOGLE_DOC_AI","LOW_CONFIDENCE; NO_TEXT_EXTRACTED","SUCCESS"
