"filename","ocr_confidence","source","curation_flags","status"
"Spill_event_probability_codebook.pdf",1,"LOCAL_PDF_LAYOUT","","SUCCESS"
"static-plot-1.pdf",NA,"FAILED","","ERROR: URL using bad/illegal format or missing URL:
URL rejected: Malformed input to a URL function"
