"FileName","Status","SchemaValidation","RootNode","Namespaces","MaxDepth","DirectChildren"
"LaurentEtAl2025_BG_grid_H3.nc.aux.xml","Well-Formed","Not Checked (No XSD)","PAMDataset","None","6",31
"LaurentEtAl2025_BG_H2_addTA_HerringCove_particulate_airsea.nc.aux.xml","Well-Formed","Not Checked (No XSD)","PAMDataset","None","7",5
