"FileName","RootNode","NumChildren","ChildNodes","RootAttributes","Status"
"LaurentEtAl2025_BG_grid_H3.nc.aux.xml","PAMDataset",31,"Subdataset","","Success"
"LaurentEtAl2025_BG_H2_addTA_HerringCove_particulate_airsea.nc.aux.xml","PAMDataset",5,"Subdataset","","Success"
