"FileName","IsValid","StructureType","Dimensions","TopLevelKeys"
"search.json",TRUE,"data.frame","99 x 6","objectID, href, title, section, text ..."
"html.json",TRUE,"list","2 elements","hash, result"
"html.json",TRUE,"list","2 elements","hash, result"
"html.json",TRUE,"list","2 elements","hash, result"
"html.json",TRUE,"list","2 elements","hash, result"
"html.json",TRUE,"list","2 elements","hash, result"
"html.json",TRUE,"list","2 elements","hash, result"
"html.json",TRUE,"list","2 elements","hash, result"
"html.json",TRUE,"list","2 elements","hash, result"
"html.json",TRUE,"list","2 elements","hash, result"
"html.json",TRUE,"list","2 elements","hash, result"
"html.json",TRUE,"list","2 elements","hash, result"
"html.json",TRUE,"list","2 elements","hash, result"
"example_schema.json",TRUE,"list","3 elements","required, types, allowed"
