"FileName","SheetName","Dimensions","HeaderPreview","IsMacro","HiddenSheets","Format","LikelyNonTabular","Status"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2o","15 x 8","Figure 2o |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2r","39 x 12","Figure 2r | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2s","7 x 2","Figure 2s | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 3b","55 x 6","Figure 3b |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 3c","54 x 6","Figure 3c |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 3f","8 x 2","Figure 3f | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 3h","0 x 1","Figure 3h",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 3i","15 x 9","Figure 3i |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 3j","6 x 2","Figure 3j | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 3k","6 x 2","Figure 3k | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 4b","8 x 2","Figure 4b | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 4c","8 x 2","Figure 4c | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 4e","0 x 1","Figure 4e",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 4f","9 x 2","Figure 4f | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 4g","15 x 13","Figure 4g |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 4h","5 x 13","Figure 4h |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 4i","5 x 13","Figure 4i |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5a","0 x 1","Figure 5a",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5b","0 x 1","Figure 5b",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5c","0 x 1","Figure 5c",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5d","0 x 1","Figure 5d",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5e","0 x 1","Figure 5e",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5f","0 x 1","Figure 5f",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5g","0 x 1","Figure 5g",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5h","7 x 3","Figure 5h |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5i","5 x 3","Figure 5i |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5j","0 x 1","Figure 5j",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5k","6 x 2","Figure 5k | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5l","6 x 2","Figure 5l | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5m","0 x 1","Figure 5m",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6a","0 x 1","Figure 6a",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6b","0 x 1","Figure 6b",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6c","0 x 1","Figure 6c",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6d","0 x 1","Figure 6d",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6f","65 x 2","Figure 6f | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6g","65 x 2","Figure 6g | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6i","8 x 2","Figure 6i | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6k","8 x 2","Figure 6k | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6m","8 x 2","Figure 6m | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6o","8 x 2","Figure 6o | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6p","0 x 1","Figure 6p",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6q","7 x 2","Figure 6q | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6r","15 x 10","Figure 6r |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7b","8 x 3","Figure 7b |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7d","7 x 3","Figure 7d |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7e","0 x 1","Figure 7e",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7f","7 x 11","Figure 7f |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7g","8 x 2","Figure 7g | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7i","8 x 3","Figure 7i |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7j","8 x 3","Figure 7j |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7l","8 x 3","Figure 7l |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7m","11 x 3","Figure 7m |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7n","6 x 3","Figure 7n |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1a","0 x 1","Figure S1a",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1b","6 x 3","Figure S1b |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1c","10 x 3","Figure S1c |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1d","9 x 11","Figure S1d |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1e","0 x 1","Figure S1e",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1f","6 x 3","Figure S1f |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1g","6 x 19","Figure S1g |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1h","6 x 19","Figure S1h |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1i","6 x 19","Figure S1i |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1l","6 x 2","Figure S1l | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1m","6 x 2","Figure S1m | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2a","0 x 1","Figure S2a",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2b","5 x 3","Figure S2b |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2c","5 x 3","Figure S2c |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2d","0 x 1","Figure S2d",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2e","0 x 1","Figure S2e",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2g","8 x 2","Figure S2g | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2j","6 x 2","Figure S2j | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2k","5 x 12","Figure S2k |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2l","10 x 11","Figure S2l |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2o","6 x 3","Figure S2o |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3b","0 x 1","Figure S3b",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3c","8 x 2","Figure S3c | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3e","6 x 2","Figure S3e | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3f","0 x 1","Figure S3f",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3g","10 x 8","Figure S3g |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3i","8 x 2","Figure S3i | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3j","0 x 1","Figure S3j",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3k","7 x 2","Figure S3k | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3l","15 x 11","Figure S3l |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3m","5 x 2","Figure S3m | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S4b","6 x 4","Figure S4b |  |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S4f","8 x 2","Figure S4f | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S4h","8 x 2","Figure S4h | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S4j","8 x 2","Figure S4j | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S4l","8 x 2","Figure S4l | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S4m","0 x 1","Figure S4m",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S4n","7 x 11","Figure S4n |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S5b","0 x 1","Figure S5b",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S5c","5 x 2","Figure S5c | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S5e","15 x 11","Figure S5e |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S5f","7 x 2","Figure S5f | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S5g","9 x 2","Figure S5g | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S5h","9 x 2","Figure S5h | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S5i","9 x 2","Figure S5i | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6b","7 x 2","Figure S6b | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6c","0 x 1","Figure S6c",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6d","0 x 1","Figure S6d",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6e","0 x 1","Figure S6e",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6f","6 x 2","Figure S6f | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6g","6 x 2","Figure S6g | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6i","0 x 1","Figure S6i",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6j","5 x 2","Figure S6j | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6k","7 x 2","Figure S6k | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6l","0 x 1","Figure S6l",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6m","9 x 5","Figure S6m |  |  |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7c","0 x 1","Figure S7c",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7d","0 x 1","Figure S7d",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7e","0 x 1","Figure S7e",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7f","0 x 1","Figure S7f",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7g","0 x 1","Figure S7g",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7h","0 x 1","Figure S7h",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7i","0 x 1","Figure S7i",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
