"FileName","id.x","name","type","ndims","natts","dim_coord","active","id.y","units","calendar","_FillValue","NA","long_name","scale_factor","add_offset","missing_value","standard_name","coordinates","axis"
"./data/FileChecks_Extensions/Guyana_t2m_ERA5_1km_NearestNeighbour_Daily_19520201.nc",0,"time","NC_INT64",1,2,TRUE,FALSE,0,"days since 1952-02-01 00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileChecks_Extensions/Guyana_t2m_ERA5_1km_NearestNeighbour_Daily_19520201.nc",0,"time","NC_INT64",1,2,TRUE,FALSE,1,NA,"proleptic_gregorian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileChecks_Extensions/Guyana_t2m_ERA5_1km_NearestNeighbour_Daily_19520201.nc",1,"lat","NC_DOUBLE",1,1,TRUE,FALSE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileChecks_Extensions/Guyana_t2m_ERA5_1km_NearestNeighbour_Daily_19520201.nc",2,"lon","NC_DOUBLE",1,1,TRUE,FALSE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileChecks_Extensions/Guyana_t2m_ERA5_1km_NearestNeighbour_Daily_19520201.nc",3,"t2m","NC_DOUBLE",3,1,FALSE,TRUE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileChecks_Images/Guyana_t2m_ERA5_1km_NearestNeighbour_Daily_19520201.nc",0,"time","NC_INT64",1,2,TRUE,FALSE,0,"days since 1952-02-01 00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileChecks_Images/Guyana_t2m_ERA5_1km_NearestNeighbour_Daily_19520201.nc",0,"time","NC_INT64",1,2,TRUE,FALSE,1,NA,"proleptic_gregorian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileChecks_Images/Guyana_t2m_ERA5_1km_NearestNeighbour_Daily_19520201.nc",1,"lat","NC_DOUBLE",1,1,TRUE,FALSE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileChecks_Images/Guyana_t2m_ERA5_1km_NearestNeighbour_Daily_19520201.nc",2,"lon","NC_DOUBLE",1,1,TRUE,FALSE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileChecks_Images/Guyana_t2m_ERA5_1km_NearestNeighbour_Daily_19520201.nc",3,"t2m","NC_DOUBLE",3,1,FALSE,TRUE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/Averaged_exceedance_TP_p99p0_ERA5.nc",0,"longitude","NC_FLOAT",1,0,TRUE,FALSE,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/Averaged_exceedance_TP_p99p0_ERA5.nc",1,"latitude","NC_FLOAT",1,0,TRUE,FALSE,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA
