"FileName","SheetName","Dimensions","IsLikelyNonTabular","HeaderPreview"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig-S1","301 x 1",TRUE,"> summary(fit,fit.measures=TRUE, rsquare = TRUE,standardized = TRUE)"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig-S2a","90 x 5",FALSE,"source_id | target_id | Value | Source | Target"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig-S2b","21256 x 2",FALSE,"dis count | ESEM_D"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig-S3-FA","48 x 4",FALSE,"ID in UKB | Index in atlas | Brain_Region | Mean_z_score"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig-S3-GMV","139 x 4",FALSE,"ID in UKB | Index in atlas | Brain_Region | Mean_z_score"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig-S4","11 x 23",FALSE,"SNP | effect_allele.exposure | other_allele.exposure | samplesize.exposure | eaf.exposure | beta.exposure | se.exposure | P.x | exposure | mr_keep.exposure | pval_origin.exposure | id.exposure | CHR | F | BP | P.y | TOTAL | NSIG | S05 | S01 | S001 | S0001 | SP2"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 1b","10 x 3",FALSE,"Figure 1b |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 1c","0 x 1",TRUE,"Figure 1c"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 1e","11 x 2",FALSE,"Figure 1e | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 1g","66 x 2",FALSE,"Figure 1g | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 1h","66 x 2",FALSE,"Figure 1h | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 1i","0 x 1",TRUE,"Figure 1i"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 1k","5 x 2",FALSE,"Figure 1k | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2a","8 x 11",FALSE,"Figure 2a |  |  |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2b","9 x 8",FALSE,"Figure 2b |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2d","8 x 5",FALSE,"Figure 2d |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2c","0 x 1",TRUE,"Figure 2c"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2f","8 x 2",FALSE,"Figure 2f | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2h","8 x 2",FALSE,"Figure 2h | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2j","8 x 2",FALSE,"Figure 2j | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2l","8 x 2",FALSE,"Figure 2l | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2m","0 x 1",TRUE,"Figure 2m"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2n","6 x 2",FALSE,"Figure 2n | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2o","15 x 8",FALSE,"Figure 2o |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2r","39 x 12",FALSE,"Figure 2r | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2s","7 x 2",FALSE,"Figure 2s | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 3b","55 x 6",FALSE,"Figure 3b |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 3c","54 x 6",FALSE,"Figure 3c |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 3f","8 x 2",FALSE,"Figure 3f | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 3h","0 x 1",TRUE,"Figure 3h"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 3i","15 x 9",FALSE,"Figure 3i |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 3j","6 x 2",FALSE,"Figure 3j | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 3k","6 x 2",FALSE,"Figure 3k | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 4b","8 x 2",FALSE,"Figure 4b | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 4c","8 x 2",FALSE,"Figure 4c | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 4e","0 x 1",TRUE,"Figure 4e"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 4f","9 x 2",FALSE,"Figure 4f | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 4g","15 x 13",FALSE,"Figure 4g |  |  |  |  |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 4h","5 x 13",FALSE,"Figure 4h |  |  |  |  |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 4i","5 x 13",FALSE,"Figure 4i |  |  |  |  |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5a","0 x 1",TRUE,"Figure 5a"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5b","0 x 1",TRUE,"Figure 5b"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5c","0 x 1",TRUE,"Figure 5c"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5d","0 x 1",TRUE,"Figure 5d"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5e","0 x 1",TRUE,"Figure 5e"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5f","0 x 1",TRUE,"Figure 5f"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5g","0 x 1",TRUE,"Figure 5g"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5h","7 x 3",FALSE,"Figure 5h |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5i","5 x 3",FALSE,"Figure 5i |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5j","0 x 1",TRUE,"Figure 5j"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5k","6 x 2",FALSE,"Figure 5k | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5l","6 x 2",FALSE,"Figure 5l | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 5m","0 x 1",TRUE,"Figure 5m"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6a","0 x 1",TRUE,"Figure 6a"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6b","0 x 1",TRUE,"Figure 6b"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6c","0 x 1",TRUE,"Figure 6c"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6d","0 x 1",TRUE,"Figure 6d"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6f","65 x 2",FALSE,"Figure 6f | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6g","65 x 2",FALSE,"Figure 6g | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6i","8 x 2",FALSE,"Figure 6i | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6k","8 x 2",FALSE,"Figure 6k | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6m","8 x 2",FALSE,"Figure 6m | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6o","8 x 2",FALSE,"Figure 6o | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6p","0 x 1",TRUE,"Figure 6p"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6q","7 x 2",FALSE,"Figure 6q | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 6r","15 x 10",FALSE,"Figure 6r |  |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7b","8 x 3",FALSE,"Figure 7b |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7d","7 x 3",FALSE,"Figure 7d |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7e","0 x 1",TRUE,"Figure 7e"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7f","7 x 11",FALSE,"Figure 7f |  |  |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7g","8 x 2",FALSE,"Figure 7g | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7i","8 x 3",FALSE,"Figure 7i |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7j","8 x 3",FALSE,"Figure 7j |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7l","8 x 3",FALSE,"Figure 7l |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7m","11 x 3",FALSE,"Figure 7m |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 7n","6 x 3",FALSE,"Figure 7n |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1a","0 x 1",TRUE,"Figure S1a"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1b","6 x 3",FALSE,"Figure S1b |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1c","10 x 3",FALSE,"Figure S1c |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1d","9 x 11",FALSE,"Figure S1d |  |  |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1e","0 x 1",TRUE,"Figure S1e"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1f","6 x 3",FALSE,"Figure S1f |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1g","6 x 19",FALSE,"Figure S1g |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1h","6 x 19",FALSE,"Figure S1h |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1i","6 x 19",FALSE,"Figure S1i |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1l","6 x 2",FALSE,"Figure S1l | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S1m","6 x 2",FALSE,"Figure S1m | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2a","0 x 1",TRUE,"Figure S2a"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2b","5 x 3",FALSE,"Figure S2b |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2c","5 x 3",FALSE,"Figure S2c |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2d","0 x 1",TRUE,"Figure S2d"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2e","0 x 1",TRUE,"Figure S2e"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2g","8 x 2",FALSE,"Figure S2g | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2j","6 x 2",FALSE,"Figure S2j | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2k","5 x 12",FALSE,"Figure S2k |  |  |  |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2l","10 x 11",FALSE,"Figure S2l |  |  |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S2o","6 x 3",FALSE,"Figure S2o |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3b","0 x 1",TRUE,"Figure S3b"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3c","8 x 2",FALSE,"Figure S3c | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3e","6 x 2",FALSE,"Figure S3e | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3f","0 x 1",TRUE,"Figure S3f"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3g","10 x 8",FALSE,"Figure S3g |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3i","8 x 2",FALSE,"Figure S3i | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3j","0 x 1",TRUE,"Figure S3j"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3k","7 x 2",FALSE,"Figure S3k | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3l","15 x 11",FALSE,"Figure S3l |  |  |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S3m","5 x 2",FALSE,"Figure S3m | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S4b","6 x 4",FALSE,"Figure S4b |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S4f","8 x 2",FALSE,"Figure S4f | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S4h","8 x 2",FALSE,"Figure S4h | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S4j","8 x 2",FALSE,"Figure S4j | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S4l","8 x 2",FALSE,"Figure S4l | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S4m","0 x 1",TRUE,"Figure S4m"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S4n","7 x 11",FALSE,"Figure S4n |  |  |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S5b","0 x 1",TRUE,"Figure S5b"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S5c","5 x 2",FALSE,"Figure S5c | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S5e","15 x 11",FALSE,"Figure S5e |  |  |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S5f","7 x 2",FALSE,"Figure S5f | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S5g","9 x 2",FALSE,"Figure S5g | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S5h","9 x 2",FALSE,"Figure S5h | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S5i","9 x 2",FALSE,"Figure S5i | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6b","7 x 2",FALSE,"Figure S6b | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6c","0 x 1",TRUE,"Figure S6c"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6d","0 x 1",TRUE,"Figure S6d"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6e","0 x 1",TRUE,"Figure S6e"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6f","6 x 2",FALSE,"Figure S6f | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6g","6 x 2",FALSE,"Figure S6g | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6i","0 x 1",TRUE,"Figure S6i"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6j","5 x 2",FALSE,"Figure S6j | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6k","7 x 2",FALSE,"Figure S6k | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6l","0 x 1",TRUE,"Figure S6l"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S6m","9 x 5",FALSE,"Figure S6m |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7c","0 x 1",TRUE,"Figure S7c"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7d","0 x 1",TRUE,"Figure S7d"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7e","0 x 1",TRUE,"Figure S7e"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7f","0 x 1",TRUE,"Figure S7f"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7g","0 x 1",TRUE,"Figure S7g"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7h","0 x 1",TRUE,"Figure S7h"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7i","0 x 1",TRUE,"Figure S7i"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7j","0 x 1",TRUE,"Figure S7j"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7k","5 x 2",FALSE,"Figure S7k | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7l","5 x 2",FALSE,"Figure S7l | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7m","0 x 1",TRUE,"Figure S7m"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7n","0 x 1",TRUE,"Figure S7n"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7o","0 x 1",TRUE,"Figure S7o"
