"FileName","VariableName","VariableLabel","DataType","ValueLabels"
"Guttieri_Ms3_ann.sas7bdat","ERROR","Failed to parse D:/Alliance/RDM/CUR_Res_CurationTools/data/FileOpen_sas7bdat/Guttieri_Ms3_ann.sas7bdat: Invalid file, or file has unsupported features.","Error",""
"Guttieri_Ms3_gen.sas7bdat","ERROR","Failed to parse D:/Alliance/RDM/CUR_Res_CurationTools/data/FileOpen_sas7bdat/Guttieri_Ms3_gen.sas7bdat: Invalid file, or file has unsupported features.","Error",""
