FileName,FileType,Syntax_Check,Packages,AbsPathsFound,Other_Risks,Potential_Secrets,Status
Inspect_hdf5_Notebook.qmd,qmd,Error: ./Inspect_hdf5_Notebook.qmd:17:6: unexpected symbol 16:  17: This notebook          ^,"DT, hdf5r, purrr, rstudioapi, tidyverse",2,,0,Success
Inspect_Images_Notebook.qmd,qmd,Error: ./Inspect_Images_Notebook.qmd:17:6: unexpected symbol 16:  17: This notebook          ^,"digest, exiftoolr, magick, purrr, rstudioapi, tidyverse",1,,0,Success
Inspect_ipynb_Notebook.qmd,qmd,Error: ./Inspect_ipynb_Notebook.qmd:17:9: unexpected symbol 16:  17: Jupyter Notebooks             ^,"jsonlite, purrr, rstudioapi, stringr, tidyverse",1,,0,Success
Inspect_json_Notebook.qmd,qmd,Error: ./Inspect_json_Notebook.qmd:17:1: unexpected '^' 16:  17: **     ^,"jsonlite, purrr, rstudioapi, tidyverse",1,,0,Success
Inspect_mat_Notebook.qmd,qmd,Error: ./Inspect_mat_Notebook.qmd:17:11: unexpected symbol 16:  17: MAT-files are               ^,"BiocManager, hdf5r, R.matlab, rhdf5, rstudioapi, tidyverse",0,,0,Success
Inspect_nc_Notebook.qmd,qmd,Error: ./Inspect_nc_Notebook.qmd:17:1: unexpected '[' 16:  17: [     ^,"ncmeta, purrr, rstudioapi, tidync, tidyverse",1,,0,Success
Inspect_OCR_Notebook.qmd,qmd,Error: ./Inspect_OCR_Notebook.qmd:18:9: unexpected symbol 17:  18: Optical Character             ^,"daiR, httr, jsonlite, magick, pdftools, rstudioapi, tidyverse",1,,0,Success
Inspect_PDF_Notebook.qmd,qmd,Error: ./Inspect_PDF_Notebook.qmd:18:5: unexpected symbol 17:  18: PDF is         ^,"pdftools, rstudioapi, tidyverse",1,,0,Success
Inspect_sas7bdat_Notebook.qmd,qmd,Error: ./Inspect_sas7bdat_Notebook.qmd:18:5: unexpected symbol 17:  18: SAS files         ^,"haven, purrr, rstudioapi, sas7bdat, stringr, tidyverse",1,,0,Success
Inspect_sav_Notebook.qmd,qmd,Error: ./Inspect_sav_Notebook.qmd:18:8: unexpected symbol 17:  18: Unlike generic            ^,"haven, purrr, rstudioapi, stringr, tidyverse",1,,0,Success
