FileName,FileType,Syntax_Check,Packages,AbsPathsFound,Other_Risks,Potential_Secrets,Status
Confocal_40x_ROIs_Pdgfrb_Morpho_Analysis.qmd,qmd,Error: D:/Alliance/RDM/CUR_Res_CurationTools/data/Inspect_rCode/Confocal_40x_ROIs_Pdgfrb_Morpho_Analysis.qmd:13:27: unexpected symbol 12:     affiliation:  13:       - name: Univerisity Laval                               ^,"bayesplot, bayestestR, brms, datawizard, dplyr, easystats, emmeans, factoextra, FactoMineR, ggcorrplot, ggplot2, gt, gtsummary, modelr, modelsummary, ",0,,0,Success
FlowCytometry_Pdgfrb_Processing.qmd,qmd,Error: D:/Alliance/RDM/CUR_Res_CurationTools/data/Inspect_rCode/FlowCytometry_Pdgfrb_Processing.qmd:13:27: unexpected symbol 12:     affiliation:  13:       - name: Univerisity Laval                               ^,"CytoML, dplyr, flowAI, flowCore, flowWorkspace, ggcyto, kableExtra, knitr, openCyto, tidyverse",0,,0,Success
Widefield_10x_Ipsilateral_Klf4_Exp.qmd,qmd,Error: D:/Alliance/RDM/CUR_Res_CurationTools/data/Inspect_rCode/Widefield_10x_Ipsilateral_Klf4_Exp.qmd:13:27: unexpected symbol 12:     affiliation:  13:       - name: Univerisity Laval                               ^,"bayesplot, bayestestR, brms, dplyr, easystats, emmeans, ggplot2, gt, gtsummary, modelbased, modelr, modelsummary, patchwork, plyr, poorman, spatstat, ",0,,0,Success
