sample_name	ring_year	ring_no	ring_start_pos	ring_end_pos	number_of_reads	ring_width	ring_dens_avg	ring_dens_min	ring_dens_max	ring_dens_median	ew_start_pos	ew_end_pos	reads_ew	ew_width	ew_dens_avg	ew_dens_min	ew_dens_max	ew_pct	lw_start_pos	lw_end_pos	reads_lw	lw_width	lw_dens_avg	lw_dens_min	lw_dens_max	lw_pct	note	ring_start_pos_inv	ring_end_pos_inv	ew_start_pos_inv	ew_end_pos_inv	lw_start_pos_inv	lw_end_pos_inv
14	2012	11	5.32	2.76	65	2.60	322.527	245.39	711.86	478.6	5.320	2.960	60	2.400	299.791	245.39	681.00	92.3	2.920	2.760	5	.200	595.362	452.84	711.86	7.6		32.88	35.44	32.88	35.24	35.28	35.44
14	2011	10	8.24	5.36	73	2.92	328.44	226.39	817.38	521.8	8.240	5.680	65	2.600	288.82	226.39	537.71	89	5.640	5.360	8	.320	650.354	515.05	817.38	10.9		29.96	32.84	29.96	32.52	32.56	32.84
14	2010	9	11.52	8.28	82	3.28	326.33	220.31	819.85	520.0	11.520	8.760	70	2.800	274.142	220.31	433.00	85.3	8.720	8.280	12	.480	630.762	469.02	819.85	14.6		26.68	29.92	26.68	29.44	29.48	29.92
14	2009	8	14.64	11.56	78	3.12	328.638	216.12	722.96	469.5	14.640	12.200	62	2.480	256.952	216.12	474.64	79.4	12.160	11.560	16	.640	606.418	461.17	722.96	20.5		23.56	26.64	23.56	26	26.04	26.64
14	2008	7	17.92	14.68	82	3.28	327.56	226.66	722.38	474.5	17.920	15.280	67	2.680	268.911	226.66	442.44	81.7	15.240	14.680	15	.600	589.526	465.44	722.38	18.2		20.28	23.52	20.28	22.92	22.96	23.52
14	2007	6	22.28	17.96	109	4.36	324.325	228.72	751.80	490.2	22.280	18.440	97	3.880	292.904	228.72	578.46	88.9	18.400	17.960	12	.480	578.312	479.88	751.80	11		15.92	20.24	15.92	19.76	19.8	20.24
14	2006	5	26.40	22.32	103	4.12	378.278	260.38	803.24	531.8	26.400	23.040	85	3.400	324.149	260.38	494.94	82.5	23.000	22.320	18	.720	633.89	517.88	803.24	17.4		11.8	15.88	11.8	15.16	15.2	15.88
14	2005	4	30.12	26.44	93	3.72	374.519	268.06	708.71	488.3	30.120	27.000	79	3.160	339.688	268.06	482.24	84.9	26.960	26.440	14	.560	571.064	468.40	708.71	15		8.08	11.76	8.08	11.2	11.24	11.76
14	2004	3	33.68	30.16	89	3.56	378.173	281.49	654.26	467.8	33.680	30.720	75	3.000	342.102	281.49	449.71	84.2	30.680	30.160	14	.560	571.406	456.49	654.26	15.7		4.52	8.04	4.52	7.48	7.52	8.04
14	2003	2	36.48	33.72	70	2.80	396.557	290.18	661.50	475.8	36.480	34.360	54	2.160	345.348	290.18	450.62	77.1	34.320	33.720	16	.640	569.387	468.20	661.50	22.8		1.72	4.48	1.72	3.84	3.88	4.48
14	2002	1	38.20	36.52	43	1.72	403.838	176.37	580.41	378.3	38.200	37.320	23	.920	330.495	176.37	380.26	53.4	37.280	36.520	20	.800	488.183	373.55	580.41	46.5		0	1.68	0	0.88	0.92	1.68
