sample_name	ring_year	ring_no	ring_start_pos	ring_end_pos	number_of_reads	ring_width	ring_dens_avg	ring_dens_min	ring_dens_max	ring_dens_median	ew_start_pos	ew_end_pos	reads_ew	ew_width	ew_dens_avg	ew_dens_min	ew_dens_max	ew_pct	lw_start_pos	lw_end_pos	reads_lw	lw_width	lw_dens_avg	lw_dens_min	lw_dens_max	lw_pct	note	ring_start_pos_inv	ring_end_pos_inv	ew_start_pos_inv	ew_end_pos_inv	lw_start_pos_inv	lw_end_pos_inv
413	2012	12	7.44	4.28	80	3.20	398.61	269.68	702.94	486.3	7.440	5.120	59	2.360	329.689	269.68	471.90	73.7	5.080	4.280	21	.840	592.246	474.68	702.94	26.2		44.88	48.04	44.88	47.2	47.24	48.04
413	2011	11	10.92	7.48	87	3.48	357.22	249.21	728.26	488.7	10.920	7.920	76	3.040	321.55	249.21	439.87	87.3	7.880	7.480	11	.440	603.673	473.14	728.26	12.6		41.4	44.84	41.4	44.4	44.44	44.84
413	2010	10	14.68	10.96	94	3.76	424.304	303.12	783.12	543.1	14.680	11.720	75	3.000	367.536	303.12	516.47	79.7	11.680	10.960	19	.760	648.389	523.22	783.12	20.2		37.64	41.36	37.64	40.6	40.64	41.36
413	2009	9	18.44	14.72	94	3.76	384.953	248.57	767.03	507.8	18.440	15.520	74	2.960	318.3	248.57	500.10	78.7	15.480	14.720	20	.800	631.57	506.48	767.03	21.2		33.88	37.6	33.88	36.8	36.84	37.6
413	2008	8	23.00	18.48	114	4.56	357.605	256.43	729.56	492.9	23.000	19.000	101	4.040	323.717	256.43	469.13	88.5	18.960	18.480	13	.520	620.89	485.43	729.56	11.4		29.32	33.84	29.32	33.32	33.36	33.84
413	2007	7	28.08	23.04	127	5.08	372.787	263.51	728.26	495.8	28.080	23.640	112	4.480	339.43	263.51	477.98	88.1	23.600	23.040	15	.600	621.859	486.99	728.26	11.8		24.24	29.28	24.24	28.68	28.72	29.28
413	2006	6	32.92	28.12	121	4.84	392.821	260.56	759.81	510.1	32.920	29.080	97	3.880	332.65	260.56	507.64	80.1	29.040	28.120	24	.960	636.014	506.90	759.81	19.8		19.4	24.2	19.4	23.24	23.28	24.2
413	2005	5	37.92	32.96	125	5.00	405.248	279.58	692.95	486.2	37.920	33.720	106	4.240	367.823	279.58	607.82	84.8	33.680	32.960	19	.760	614.04	484.60	692.95	15.2	W9	14.4	19.36	14.4	18.6	18.64	19.36
413	2004	4	42.64	37.96	118	4.72	398.372	303.12	680.94	492.0	42.640	38.600	102	4.080	367.375	303.12	488.34	86.4	38.560	37.960	16	.640	595.976	476.75	680.94	13.5		9.68	14.36	9.68	13.72	13.76	14.36
413	2003	3	46.92	42.68	107	4.28	442.582	342.44	741.89	542.1	46.920	43.480	87	3.480	403.123	342.44	516.57	81.3	43.440	42.680	20	.800	614.225	506.17	741.89	18.6		5.4	9.64	5.4	8.84	8.88	9.64
413	2002	2	50.20	46.96	82	3.28	424.013	317.74	671.76	494.7	50.200	47.400	71	2.840	404.887	317.74	589.21	86.5	47.360	46.960	11	.440	547.465	353.90	671.76	13.4	W9	2.12	5.36	2.12	4.92	4.96	5.36
413	2001	1	52.32	50.24	53	2.12	502.176	344.07	683.82	513.9	52.320	51.240	28	1.120	407.31	344.07	464.82	52.8	51.200	50.240	25	1.000	608.425	491.35	683.82	47.1		0	2.08	0	1.08	1.12	2.08
