"FileName","Conventions","history"
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/ERA5_2019OctNov_mslp.nc","CF-1.6","2022-12-23 13:14:30 GMT by grib_to_netcdf-2.25.1: /opt/ecmwf/mars-client/bin/grib_to_netcdf.bin -S param -o /cache/data0/adaptor.mars.internal-1671801263.7621398-28935-15-3ef9e2dc-6021-457a-8e86-a35e54411971.nc /cache/tmp/3ef9e2dc-6021-457a-8e86-a35e54411971-adaptor.mars.internal-1671801194.0900054-28935-24-tmp.grib"
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/ERA5_2019OctNov_TP_10mUV.nc","CF-1.6","2022-12-22 13:55:01 GMT by grib_to_netcdf-2.25.1: /opt/ecmwf/mars-client/bin/grib_to_netcdf.bin -S param -o /cache/data4/adaptor.mars.internal-1671717284.3128908-28881-16-21703d12-0fe9-4c34-8f10-eadab9d0c393.nc /cache/tmp/21703d12-0fe9-4c34-8f10-eadab9d0c393-adaptor.mars.internal-1671717126.9913325-28881-13-tmp.grib"
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/Geopotential_orography.nc","CF-1.6","2024-04-18 11:32:43 GMT by grib_to_netcdf-2.25.1: /opt/ecmwf/mars-client/bin/grib_to_netcdf.bin -S param -o /cache/data3/adaptor.mars.internal-1713439963.6283402-21017-13-6142edf8-1300-47e2-860e-b5f2ed4c736b.nc /cache/tmp/6142edf8-1300-47e2-860e-b5f2ed4c736b-adaptor.mars.internal-1713439960.242965-21017-21-tmp.grib"
