"FileName","id","name","length","unlim","coord_dim","active","start","count"
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/TPExtremes_p99p0_duration_exceedance_distribution_Halloween_IMERG.nc",0,"longitude",1301,FALSE,TRUE,TRUE,1,1301
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/TPExtremes_p99p0_duration_exceedance_distribution_Halloween_IMERG.nc",1,"latitude",351,FALSE,TRUE,TRUE,1,351
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/TPExtremes_p99p0_duration_exceedance_distribution_Halloween_IMERG.nc",2,"season",4,FALSE,FALSE,TRUE,1,4
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/TPExtremes_p99p0_ETC_association_2001_2020_ERA5.nc",0,"longitude",521,FALSE,TRUE,TRUE,1,521
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/TPExtremes_p99p0_ETC_association_2001_2020_ERA5.nc",1,"latitude",201,FALSE,TRUE,TRUE,1,201
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/TPExtremes_p99p0_ETC_association_2001_2020_ERA5.nc",2,"season",4,FALSE,FALSE,TRUE,1,4
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/TPExtremes_p99p0_ETC_association_2001_2020_IMERG.nc",0,"longitude",1301,FALSE,TRUE,TRUE,1,1301
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/TPExtremes_p99p0_ETC_association_2001_2020_IMERG.nc",1,"latitude",351,FALSE,TRUE,TRUE,1,351
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/TPExtremes_p99p0_ETC_association_2001_2020_IMERG.nc",2,"season",4,FALSE,FALSE,TRUE,1,4
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/TPp99p0_2001_2020_ERA5.nc",0,"latitude",201,FALSE,TRUE,TRUE,1,201
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/TPp99p0_2001_2020_ERA5.nc",1,"longitude",521,FALSE,TRUE,TRUE,1,521
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/TPp99p0_2001_2020_IMERG.nc",0,"longitude",1301,FALSE,TRUE,TRUE,1,1301
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/TPp99p0_2001_2020_IMERG.nc",1,"latitude",351,FALSE,TRUE,TRUE,1,351
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/TPp99p0_2001_2020_IMERG025grid.nc",0,"lon",521,FALSE,TRUE,TRUE,1,521
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/TPp99p0_2001_2020_IMERG025grid.nc",1,"lat",141,FALSE,TRUE,TRUE,1,141
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/WSExtremes_p99p0_duration_exceedance_distribution_Halloween_ERA5.nc",0,"longitude",521,FALSE,TRUE,TRUE,1,521
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/WSExtremes_p99p0_duration_exceedance_distribution_Halloween_ERA5.nc",1,"latitude",201,FALSE,TRUE,TRUE,1,201
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/WSExtremes_p99p0_duration_exceedance_distribution_Halloween_ERA5.nc",2,"season",4,FALSE,FALSE,TRUE,1,4
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/WSExtremes_p99p0_ETC_association_2001_2020_ERA5.nc",0,"longitude",521,FALSE,TRUE,TRUE,1,521
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/WSExtremes_p99p0_ETC_association_2001_2020_ERA5.nc",1,"latitude",201,FALSE,TRUE,TRUE,1,201
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/WSExtremes_p99p0_ETC_association_2001_2020_ERA5.nc",2,"season",4,FALSE,FALSE,TRUE,1,4
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/WSp99p0_2001_2020_ERA5.nc",0,"latitude",201,FALSE,TRUE,TRUE,1,201
"D:/Alliance/FRDR/Curation/2025/1226/files/Data_For_Figures/WSp99p0_2001_2020_ERA5.nc",1,"longitude",521,FALSE,TRUE,TRUE,1,521
