"FileName","ObjectName","ObjectType","Dimensions","DataType","Attributes","Status"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_11/batch_normalization_11",H5I_GROUP,"","","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_11/batch_normalization_11/beta:0",H5I_DATASET,"96","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_11/batch_normalization_11/moving_mean:0",H5I_DATASET,"96","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_11/batch_normalization_11/moving_variance:0",H5I_DATASET,"96","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_12",H5I_GROUP,"","","weight_names","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_12/batch_normalization_12",H5I_GROUP,"","","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_12/batch_normalization_12/beta:0",H5I_DATASET,"32","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_12/batch_normalization_12/moving_mean:0",H5I_DATASET,"32","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_12/batch_normalization_12/moving_variance:0",H5I_DATASET,"32","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_13",H5I_GROUP,"","","weight_names","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_13/batch_normalization_13",H5I_GROUP,"","","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_13/batch_normalization_13/beta:0",H5I_DATASET,"64","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_13/batch_normalization_13/moving_mean:0",H5I_DATASET,"64","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_13/batch_normalization_13/moving_variance:0",H5I_DATASET,"64","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_14",H5I_GROUP,"","","weight_names","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_14/batch_normalization_14",H5I_GROUP,"","","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_14/batch_normalization_14/beta:0",H5I_DATASET,"48","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_14/batch_normalization_14/moving_mean:0",H5I_DATASET,"48","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_14/batch_normalization_14/moving_variance:0",H5I_DATASET,"48","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_15",H5I_GROUP,"","","weight_names","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_15/batch_normalization_15",H5I_GROUP,"","","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_15/batch_normalization_15/beta:0",H5I_DATASET,"64","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_15/batch_normalization_15/moving_mean:0",H5I_DATASET,"64","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_15/batch_normalization_15/moving_variance:0",H5I_DATASET,"64","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_16",H5I_GROUP,"","","weight_names","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_16/batch_normalization_16",H5I_GROUP,"","","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_16/batch_normalization_16/beta:0",H5I_DATASET,"64","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_16/batch_normalization_16/moving_mean:0",H5I_DATASET,"64","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_16/batch_normalization_16/moving_variance:0",H5I_DATASET,"64","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_17",H5I_GROUP,"","","weight_names","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_17/batch_normalization_17",H5I_GROUP,"","","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_17/batch_normalization_17/beta:0",H5I_DATASET,"96","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_17/batch_normalization_17/moving_mean:0",H5I_DATASET,"96","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_17/batch_normalization_17/moving_variance:0",H5I_DATASET,"96","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_18",H5I_GROUP,"","","weight_names","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_18/batch_normalization_18",H5I_GROUP,"","","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_18/batch_normalization_18/beta:0",H5I_DATASET,"96","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_18/batch_normalization_18/moving_mean:0",H5I_DATASET,"96","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_18/batch_normalization_18/moving_variance:0",H5I_DATASET,"96","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_19",H5I_GROUP,"","","weight_names","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_19/batch_normalization_19",H5I_GROUP,"","","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_19/batch_normalization_19/beta:0",H5I_DATASET,"64","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_19/batch_normalization_19/moving_mean:0",H5I_DATASET,"64","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_19/batch_normalization_19/moving_variance:0",H5I_DATASET,"64","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_2",H5I_GROUP,"","","weight_names","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_2/batch_normalization_2",H5I_GROUP,"","","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_2/batch_normalization_2/beta:0",H5I_DATASET,"32","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_2/batch_normalization_2/moving_mean:0",H5I_DATASET,"32","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_2/batch_normalization_2/moving_variance:0",H5I_DATASET,"32","H5T_IEEE_F32LE","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_20",H5I_GROUP,"","","weight_names","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_20/batch_normalization_20",H5I_GROUP,"","","","Success"
"model-134-wire-e8e71fc090141d7c6fb334359152d295.hdf5","model_weights/batch_normalization_20/batch_normalization_20/beta:0",H5I_DATASET,"64","H5T_IEEE_F32LE","","Success"
